This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,
,,,
,,,
The portfolios are constructede at the end of June.,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
195109,0.66,0.56,1.7
195110,-3.74,-0.57,-2.18
195111,0.82,0.55,0.79
195112,4.12,3.61,0.97
195201,0.52,2.4,3.58
195202,-2.2,-2.85,-2.86
195203,4.26,4.78,6
195204,-4.6,-5.09,-5.02
195205,3.71,2.79,3.41
195206,3.83,4.2,4.31
195207,1.24,0.72,1.31
195208,-0.73,-0.41,-0.76
195209,-1.74,-1.82,-2.42
195210,-0.84,0.12,-0.76
195211,6.25,5.32,7.39
195212,3.17,2.83,3.41
195301,-0.78,0.07,1.94
195302,-0.21,0.09,-0.38
195303,-1.03,-1.4,-2.57
195304,-3.09,-2.29,-1.74
195305,0.93,0.24,1.21
195306,-1.76,-1.45,-2.19
195307,2.93,2.1,1.73
195308,-3.99,-3.93,-7.85
195309,0.8,0.26,-1.9
195310,5.02,4.31,4.38
195311,3.31,2.28,2.63
195312,0.54,0.27,-2.5
195401,4.5,5.8,8.11
195402,1.6,2.19,0.87
195403,4.19,3.49,1.89
195404,5.18,3.46,3.06
195405,2.91,2.66,6.45
195406,1.8,-0.11,1.04
195407,4.32,5.24,9.09
195408,-2.96,-0.84,-4.17
195409,6.82,6.43,6.11
195410,-2.28,-0.95,0.12
195411,9.54,8.25,14.35
195412,4.32,6.15,11.66
195501,0.08,0.82,3.36
195502,3.05,2.98,3.67
195503,-0.33,-0.22,1.97
195504,4.07,1.94,4.01
195505,1.87,0.21,0.21
195506,6.42,7.33,7.7
195507,2.01,2.25,0.61
195508,0.59,-0.06,1.16
195509,0.18,-0.35,-1.84
195510,-3.05,-1.56,-2.8
195511,7.93,5.73,8.63
195512,1.93,1.87,-0.68
195601,-3.96,-1.14,-2.2
195602,4.95,2.82,3.19
195603,7.14,6.98,5.18
195604,-0.05,1.28,0.64
195605,-5.03,-4.78,-6.11
195606,4.6,2.83,1.64
195607,4.83,5.56,4.71
195608,-3.16,-2.94,-2.82
195609,-5.9,-3.71,-3.32
195610,0.64,0.85,1.19
195611,-0.29,1.99,1.36
195612,3.43,3.85,1.93
195701,-4.27,-2.76,-1.09
195702,-1.71,-1.76,-3.07
195703,2.7,1.95,1.84
195704,5.28,3.89,2.74
195705,4.6,2.85,1.68
195706,0,-1.34,-0.39
195707,1.26,0.55,0.92
195708,-5.44,-3.29,-5.84
195709,-6.34,-4.37,-6.2
195710,-3.83,-3.53,-7.54
195711,3.11,1.95,-0.13
195712,-3.9,-2.54,-5.92
195801,3.5,6.26,12.07
195802,-1.8,-0.55,-1.89
195803,3.42,3.23,3.32
195804,3.32,2.46,4.99
195805,2.11,2.73,3.81
195806,3.12,2.73,3.08
195807,4.39,4.07,7.58
195808,1.72,1.97,3.4
195809,4.74,4.36,8.16
195810,2.69,2.63,3.86
195811,3.37,2.29,4.31
195812,4.95,6.65,3.9
195901,-0.57,2.9,4.53
195902,0.57,1.69,2.4
195903,0.71,0.1,0.36
195904,4.73,2.58,3.47
195905,2.68,0.59,3.08
195906,-0.37,0.39,2.08
195907,3.94,2.45,3.21
195908,-1.36,-1.01,-0.74
195909,-5.01,-3.36,-5.07
195910,1.48,1.85,0.38
195911,3,0.01,-0.04
195912,2.97,2.57,3.72
196001,-8.15,-4.3,-5.02
196002,1.37,2.13,-0.79
196003,-0.9,-1.19,-4.76
196004,-1.52,-1.42,-3.12
196005,4.34,1.73,0.29
196006,2.64,1.64,2.55
196007,-3.52,-0.29,-1.31
196008,2.74,4.13,2.74
196009,-6.76,-4.42,-5.37
196010,-0.74,-0.1,0.11
196011,5.45,4.03,3.82
196012,3.58,7.17,3.49
196101,4.9,7.86,9.95
196102,4.12,2.74,4.02
196103,2.28,4.07,2.92
196104,-0.31,1.12,2.45
196105,3.19,1.7,3.24
196106,-2.34,-3.3,-3.51
