This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,
,,,
The portfolios are constructed at the end of June.,,,
,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
195306,-4.02,-2.93,-1.5
195307,1.29,1.66,2.69
195308,-5.98,-4.85,-4.25
195309,-2.27,-0.78,0.58
195310,2.76,4.17,4.84
195311,2.04,2.23,3
195312,-2.54,-1.18,0.38
195401,7.56,6.51,5.04
195402,0.98,1.78,1.73
195403,2.87,2.95,3.86
195404,0.64,1.66,4.82
195405,3.86,4.23,3.01
195406,1.1,1.52,1.09
195407,8.88,6.81,4.76
195408,0.2,-1.33,-2.47
195409,4.03,4.35,6.82
195410,-0.39,-0.47,-1.77
195411,8.46,9.36,9.48
195412,10.82,7.82,5.2
195501,2.16,1.61,0.51
195502,5.38,4.51,2.84
195503,-0.13,0.03,-0.08
195504,2.51,1.94,3.44
195505,0.49,0.63,1.19
195506,3.81,3.04,7.28
195507,1.62,0.52,2.19
195508,0.22,0.88,0.33
195509,-0.3,-1.02,-0.08
195510,-1.36,-1.47,-2.61
195511,4.19,6,7.4
195512,2.23,2.25,1.58
195601,-1.05,-2.83,-2.84
195602,3.16,3.48,4.07
195603,4.61,5.18,7.05
195604,0.79,0.62,0.48
195605,-4.47,-3.91,-5.1
195606,1.38,2.78,3.82
195607,3.6,4.23,5.17
195608,-1.18,-1.86,-3.18
195609,-2.51,-3.49,-5.16
195610,0.7,1.02,0.75
195611,0.35,0.97,0.52
195612,1.86,2.86,3.51
195701,2.03,-0.41,-3.8
195702,-2.33,-2.34,-1.77
195703,1.67,2.66,2.33
195704,2.29,2.3,4.85
195705,1.32,2.4,3.93
195706,0.43,-0.93,-0.5
195707,0.78,0.5,1.01
195708,-4.29,-5.35,-4.8
195709,-4.68,-5.35,-5.79
195710,-7.5,-5.89,-3.73
195711,0.37,2.72,2.58
195712,-4.94,-4.2,-3.59
195801,12.01,9.7,4.28
195802,-1.08,-0.42,-1.56
195803,3.8,3.77,3.3
195804,3.72,2.45,3.27
195805,3.94,4.05,2.17
195806,3.38,2.87,2.99
195807,5.51,5.63,4.3
195808,3.27,3.08,1.79
195809,5.48,5.41,4.77
195810,3.22,3.44,2.62
195811,5.58,3.73,3
195812,3.28,3.99,5.58
195901,6.65,3.49,0.49
195902,3.53,3.3,0.83
195903,2.48,1.37,0.4
195904,1.97,3.76,3.94
